# MARKET ORDER LOG
# Command: python cli.py --symbol BTCUSDT --side BUY --type MARKET --quantity 0.002
# Result: SUCCESS
# Order ID: 12040222728

2026-01-30 17:28:42 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 17:28:42 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.002, price=None
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769774322341}
2026-01-30 17:28:42 | INFO     | trading_bot.cli | API connection established
2026-01-30 17:28:42 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.002, 'price': None}
2026-01-30 17:28:42 | INFO     | trading_bot.client | Placing MARKET BUY order for 0.002 BTCUSDT
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.002, 'timestamp': 1769774322382, 'signature': '***'}
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 17:28:42 | DEBUG    | trading_bot.client | Response data: {'orderId': 12040222728, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'QrJzwNGnWrEfPHfg2qltys', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1769774322485}
2026-01-30 17:28:42 | INFO     | trading_bot.orders | Order placed successfully: 12040222728
2026-01-30 17:28:42 | INFO     | trading_bot.cli | Order completed successfully
