2026-01-30 13:40:00 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:00 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.001, price=None
2026-01-30 13:40:00 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:40:00 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:40:01 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:01 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760601121}
2026-01-30 13:40:01 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:40:01 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.001, 'price': None}
2026-01-30 13:40:01 | INFO     | trading_bot.client | Placing MARKET BUY order for 0.001 BTCUSDT
2026-01-30 13:40:01 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:40:01 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1769760601183, 'signature': '***'}
2026-01-30 13:40:01 | DEBUG    | trading_bot.client | Response status: 400
2026-01-30 13:40:01 | ERROR    | trading_bot.client | API error: -4164 - Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-01-30 13:40:01 | ERROR    | trading_bot.orders | Order failed: API Error -4164: Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-01-30 13:40:01 | ERROR    | trading_bot.cli | Order failed: Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-01-30 13:40:05 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:05 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=BUY, type=MARKET, qty=0.002, price=None
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760605583}
2026-01-30 13:40:05 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:40:05 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 0.002, 'price': None}
2026-01-30 13:40:05 | INFO     | trading_bot.client | Placing MARKET BUY order for 0.002 BTCUSDT
